"mod","ds_type","mc","threshold"
"rf","total",1,0.4
"rf","total",2,0.25
"rf","total",3,0.35
"rf","total",4,0.3
"rf","total",5,0.35
"rf","total",6,0.3
"rf","total",7,0.45
"rf","total",8,0.25
"rf","total",9,0.5
"rf","total",10,0.4
"rf","total",11,0.35
"rf","total",12,0.3
"rf","total",13,0.45
"rf","total",14,0.45
"rf","total",15,0.3
"rf","total",16,0.35
"rf","total",17,0.25
"rf","total",18,0.35
"rf","total",19,0.3
"rf","total",20,0.4
"rf","total",21,0.45
"rf","total",22,0.4
"rf","total",23,0.4
"rf","total",24,0.45
"rf","total",25,0.45
"rf","total",26,0.4
"rf","total",27,0.4
"rf","total",28,0.35
"rf","total",29,0.35
"rf","total",30,0.4
"rf","total",31,0.45
"rf","total",32,0.4
"rf","total",33,0.35
"rf","total",34,0.35
"rf","total",35,0.3
"rf","total",36,0.2
"rf","total",37,0.45
"rf","total",38,0.3
"rf","total",39,0.45
"rf","total",40,0.35
"rf","total",41,0.3
"rf","total",42,0.45
"rf","total",43,0.35
"rf","total",44,0.35
"rf","total",45,0.45
"rf","total",46,0.4
"rf","total",47,0.25
"rf","total",48,0.4
"rf","total",49,0.45
"rf","total",50,0.3
"rf","total",51,0.4
"rf","total",52,0.55
"rf","total",53,0.25
"rf","total",54,0.35
"rf","total",55,0.45
"rf","total",56,0.3
"rf","total",57,0.4
"rf","total",58,0.35
"rf","total",59,0.55
"rf","total",60,0.35
"rf","total",61,0.25
"rf","total",62,0.4
"rf","total",63,0.3
"rf","total",64,0.45
"rf","total",65,0.45
"rf","total",66,0.4
"rf","total",67,0.45
"rf","total",68,0.4
"rf","total",69,0.3
"rf","total",70,0.4
"rf","total",71,0.35
"rf","total",72,0.45
"rf","total",73,0.35
"rf","total",74,0.45
"rf","total",75,0.3
"rf","total",76,0.3
"rf","total",77,0.35
"rf","total",78,0.4
"rf","total",79,0.35
"rf","total",80,0.45
"rf","total",81,0.6
"rf","total",82,0.45
"rf","total",83,0.5
"rf","total",84,0.45
"rf","total",85,0.3
"rf","total",86,0.35
"rf","total",87,0.4
"rf","total",88,0.4
"rf","total",89,0.3
"rf","total",90,0.4
"rf","total",91,0.3
"rf","total",92,0.45
"rf","total",93,0.4
"rf","total",94,0.35
"rf","total",95,0.35
"rf","total",96,0.55
"rf","total",97,0.3
"rf","total",98,0.35
"rf","total",99,0.25
"rf","total",100,0.35
