"veg_code","woody_dominance_mean","veg_category","woody_percent","biomass_type","summary_type","predicted","lwr","upr","lwr_Tg","predicted_Tg","upr_Tg"
0,9.371481101,"Barrens",43.3646812957158,"Plant","mean",79.8782287333333,42.4668537666667,147.946115555556,4.24668537666667e-11,7.98782287333333e-11,1.47946115555556e-10
0,9.371481101,"Barrens",43.3646812957158,"Plant","sum",9.57e+13,5.1e+13,1.78e+14,51,95.7,178
0,9.371481101,"Barrens",43.3646812957158,"Woody Plant","mean",34.6647297888889,17.1496796111111,112.156601555556,1.71496796111111e-11,3.46647297888889e-11,1.12156601555556e-10
0,9.371481101,"Barrens",43.3646812957158,"Woody Plant","sum",4.15e+13,2.05e+13,1.34e+14,20.5,41.5,134
0,9.371481101,"Barrens",43.3646812957158,"Nonwoody Plant","sum",5.42e+13,3.05e+13,4.4e+13,30.5,54.2,44
0,9.371481101,"Barrens",43.3646812957158,"Nonwoody Plant","mean",45.2134989444444,25.3171741555556,35.789514,2.53171741555556e-11,4.52134989444444e-11,3.5789514e-11
2,38.8690349,"Graminoid tundras",52.4871355060034,"Plant","mean",408.998095555556,248.723536222222,652.719343111111,2.48723536222222e-10,4.08998095555556e-10,6.52719343111111e-10
2,38.8690349,"Graminoid tundras",52.4871355060034,"Plant","sum",5.83e+14,3.54e+14,9.3e+14,354,583,930
2,38.8690349,"Graminoid tundras",52.4871355060034,"Woody Plant","mean",214.627427666667,112.113537111111,527.870037,1.12113537111111e-10,2.14627427666667e-10,5.27870037e-10
2,38.8690349,"Graminoid tundras",52.4871355060034,"Woody Plant","sum",3.06e+14,1.6e+14,7.52e+14,160,306,752
2,38.8690349,"Graminoid tundras",52.4871355060034,"Nonwoody Plant","sum",2.77e+14,1.94e+14,1.78e+14,194,277,178
2,38.8690349,"Graminoid tundras",52.4871355060034,"Nonwoody Plant","mean",194.370667888889,136.609999111111,124.849306111111,1.36609999111111e-10,1.94370667888889e-10,1.24849306111111e-10
3,35.46884454,"Shrub tundras",63.6963696369637,"Plant","mean",419.558114666667,253.580439555556,672.111560444444,2.53580439555556e-10,4.19558114666667e-10,6.72111560444444e-10
3,35.46884454,"Shrub tundras",63.6963696369637,"Plant","sum",6.06e+14,3.67e+14,9.73e+14,367,606,973
3,35.46884454,"Shrub tundras",63.6963696369637,"Woody Plant","mean",267.118484777778,137.616825222222,559.643470777778,1.37616825222222e-10,2.67118484777778e-10,5.59643470777778e-10
3,35.46884454,"Shrub tundras",63.6963696369637,"Woody Plant","sum",3.86e+14,1.99e+14,8.09e+14,199,386,809
3,35.46884454,"Shrub tundras",63.6963696369637,"Nonwoody Plant","sum",2.2e+14,1.68e+14,1.64e+14,168,220,164
3,35.46884454,"Shrub tundras",63.6963696369637,"Nonwoody Plant","mean",152.439629888889,115.963614333333,112.468089666667,1.15963614333333e-10,1.52439629888889e-10,1.12468089666667e-10
4,42.71877972,"Wetlands",56.7241379310345,"Plant","mean",495.057219777778,289.534691555556,812.232129333333,2.89534691555556e-10,4.95057219777778e-10,8.12232129333333e-10
4,42.71877972,"Wetlands",56.7241379310345,"Plant","sum",1.16e+14,6.81e+13,1.91e+14,68.1,116,191
4,42.71877972,"Wetlands",56.7241379310345,"Woody Plant","mean",280.231269666667,136.313305777778,729.799987777778,1.36313305777778e-10,2.80231269666667e-10,7.29799987777778e-10
4,42.71877972,"Wetlands",56.7241379310345,"Woody Plant","sum",6.58e+13,3.2e+13,1.71e+14,32,65.8,171
4,42.71877972,"Wetlands",56.7241379310345,"Nonwoody Plant","sum",5.02e+13,3.61e+13,2e+13,36.1,50.2,20
4,42.71877972,"Wetlands",56.7241379310345,"Nonwoody Plant","mean",214.825950111111,153.221385777778,82.4321415555556,1.53221385777778e-10,2.14825950111111e-10,8.24321415555556e-11
9,56.09971789,"Non-Arctic areas",80.168776371308,"Plant","mean",771.610901444444,441.268042222222,1261.81792888889,4.41268042222222e-10,7.71610901444444e-10,1.26181792888889e-09
9,56.09971789,"Non-Arctic areas",80.168776371308,"Plant","sum",2.37e+15,1.36e+15,3.88e+15,1360,2370,3880
9,56.09971789,"Non-Arctic areas",80.168776371308,"Woody Plant","mean",617.486150222222,316.215000444444,1200.90248555556,3.16215000444444e-10,6.17486150222222e-10,1.20090248555556e-09
9,56.09971789,"Non-Arctic areas",80.168776371308,"Woody Plant","sum",1.9e+15,9.71e+14,3.69e+15,971,1900,3690
9,56.09971789,"Non-Arctic areas",80.168776371308,"Nonwoody Plant","sum",4.7e+14,3.89e+14,1.9e+14,389,470,190
9,56.09971789,"Non-Arctic areas",80.168776371308,"Nonwoody Plant","mean",154.124751222222,125.053041777778,60.9154433333333,1.25053041777778e-10,1.54124751222222e-10,6.09154433333333e-11
