"FIRST_zone","woody_dominance_mean","woody_percent","biomass_type","summary_type","predicted","lwr","upr","lwr_Tg","predicted_Tg","upr_Tg"
"High Arctic",10.5383023,38.8095238095238,"Plant","mean",115.189758,60.2438927777778,201.784597777778,6.02438927777778e-11,1.15189758e-10,2.01784597777778e-10
"High Arctic",10.5383023,38.8095238095238,"Plant","sum",1.68e+14,8.8e+13,2.95e+14,88,168,295
"High Arctic",10.5383023,38.8095238095238,"Woody Plant","mean",44.6753941888889,21.5855483111111,147.795405222222,2.15855483111111e-11,4.46753941888889e-11,1.47795405222222e-10
"High Arctic",10.5383023,38.8095238095238,"Woody Plant","sum",6.52e+13,3.15e+13,2.16e+14,31.5,65.2,216
"High Arctic",10.5383023,38.8095238095238,"Nonwoody Plant","sum",1.028e+14,5.65e+13,7.9e+13,56.5,102.8,79
"High Arctic",10.5383023,38.8095238095238,"Nonwoody Plant","mean",70.5143638111111,38.6583444666667,53.9891925555556,3.86583444666667e-11,7.05143638111111e-11,5.39891925555556e-11
"Low Arctic",38.24814966,59.1538461538462,"Plant","mean",418.455156555556,254.580056555556,670.847511222222,2.54580056555556e-10,4.18455156555556e-10,6.70847511222222e-10
"Low Arctic",38.24814966,59.1538461538462,"Plant","sum",1.3e+15,7.9e+14,2.08e+15,790,1300,2080
"Low Arctic",38.24814966,59.1538461538462,"Woody Plant","mean",248.285491222222,128.171245888889,560.065591444445,1.28171245888889e-10,2.48285491222222e-10,5.60065591444445e-10
"Low Arctic",38.24814966,59.1538461538462,"Woody Plant","sum",7.69e+14,3.97e+14,1.74e+15,397,769,1740
"Low Arctic",38.24814966,59.1538461538462,"Nonwoody Plant","sum",5.31e+14,3.93e+14,3.4e+14,393,531,340
"Low Arctic",38.24814966,59.1538461538462,"Nonwoody Plant","mean",170.169665333333,126.408810666667,110.781919777778,1.26408810666667e-10,1.70169665333333e-10,1.10781919777778e-10
"Oro Arctic",58.89256392,80.3571428571429,"Plant","mean",817.755049,467.852069666667,1338.98124333333,4.67852069666667e-10,8.17755049e-10,1.33898124333333e-09
"Oro Arctic",58.89256392,80.3571428571429,"Plant","sum",2.24e+15,1.28e+15,3.67e+15,1280,2240,3670
"Oro Arctic",58.89256392,80.3571428571429,"Woody Plant","mean",659.092911333333,337.55911,1279.70256,3.3755911e-10,6.59092911333333e-10,1.27970256e-09
"Oro Arctic",58.89256392,80.3571428571429,"Woody Plant","sum",1.8e+15,9.24e+14,3.5e+15,924,1800,3500
"Oro Arctic",58.89256392,80.3571428571429,"Nonwoody Plant","sum",4.4e+14,3.56e+14,1.7e+14,356,440,170
"Oro Arctic",58.89256392,80.3571428571429,"Nonwoody Plant","mean",158.662137666667,130.292959666667,59.2786833333333,1.30292959666667e-10,1.58662137666667e-10,5.92786833333333e-11
"Pan Arctic",40.96957644,71.3513513513514,"Plant","mean",507.701165444444,295.689755111111,827.593834222222,2.95689755111111e-10,5.07701165444444e-10,8.27593834222222e-10
"Pan Arctic",40.96957644,71.3513513513514,"Plant","sum",3.7e+15,2.16e+15,6.04e+15,2160,3700,6040
"Pan Arctic",40.96957644,71.3513513513514,"Woody Plant","mean",361.756361111111,185.446134666667,747.724159444444,1.85446134666667e-10,3.61756361111111e-10,7.47724159444445e-10
"Pan Arctic",40.96957644,71.3513513513514,"Woody Plant","sum",2.64e+15,1.35e+15,5.45e+15,1350,2640,5450
"Pan Arctic",40.96957644,71.3513513513514,"Nonwoody Plant","sum",1.06e+15,8.1e+14,5.9e+14,810,1060,590
"Pan Arctic",40.96957644,71.3513513513514,"Nonwoody Plant","mean",145.944804333333,110.243620444444,79.8696747777778,1.10243620444444e-10,1.45944804333333e-10,7.98696747777778e-11
